50
excited podekscytowany
confused zdezorientowany
depressed przygnebiony
exhaused wyczerpany
gloomy ponury
heartbroken zrozpaczony
moved wzruszony
nervous zdenerwowany
tired zmeczony
unhappy nieszczesliwy
surprised zaskoczony
respect szanowac
romantic romantyczny
perfectionist perfekcjonista
partial stronniczy
rude nieuprzejmy
stupid glupi
shy niesmialy
stubborn uparty
talkactive gadatliwy
inteligent inteligentny
polite uprzejmy
boosy dominujacy
boring nudny
gesture gest
flexible elastyczny
vain prozny
rebelious buntowniczy
messy nieporzadny
furious wsciekly
loyal lojalny
trendy modny
feminine kobiecy
terrified przerazony
admire podziwiac
caring troskliwy
faded wyplowialy
honest uczciwy
reserved powsciagliwy
strict surowy
suspicious podejrzliwy
sympathetic wspolczujacy
attitude postawa
distract rozpraszac
multitask wielozadaniowy
sense zmysl
realise uswiadomic
elated uszczesliwiony
angry zly
anxious niespokojny
