45
about o
above ponad
accept akceptowac
account konto
acid kwas 
across przez
act dzialac
add dodawac
addition dodatek
adjustment regulacja
advertisement reklama
after po
again znowu
against przeciwko
age wiek
ago przed
agreement porozumienie
air powietrze
all wszystko
allow pozwalac
almost prawie
also rowniez
always zawsze
among wsrod
amount liczba
amusement rozbawienie
and i
angle haczyk
angry zly
animal zwierze
answer odpowiedz
ant mrowka
any dowolny   
apple jablko
arch luk
area teren
argument klotnia	   
arm reka
army wojsko
art sztuka
as jak
ask zapytac
at przy
attempt proba
attention uwaga
